Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-05-25 15:20:56,LSC15529,2026-05-25 10:12:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-25 15:22:11,LSC11397,2026-05-25 10:26:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-25 15:23:12,LSC15371,2026-05-25 10:35:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-25 15:24:44,LSC11400,2026-05-25 10:45:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-25 15:27:23,LSC15206,2026-05-25 11:07:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-25 18:50:17,LSC15206,2026-05-25 10:55:00,50065,50045,48,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-26 15:32:48,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,2026-05-25 11:16:00,50065,50045,5,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-26 15:34:00,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,2026-05-25 11:20:00,50065,50045,5,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-26 15:35:53,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:30:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-26 15:37:06,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:33:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-26 15:39:10,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:42:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-26 15:40:11,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:45:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-27 16:38:58,LSC15197,2026-05-26 09:43:00,50065,50045,3,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-27 16:40:32,LSC11394,2026-05-26 09:51:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-27 16:41:51,LSC15145,2026-05-26 10:00:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-27 16:43:29,LSC11379,2026-05-26 10:17:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-27 16:45:14,LSC11391,2026-05-26 10:07:00,50065,50045,1,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-27 16:47:05,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:52:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-27 16:48:24,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:54:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-27 16:49:46,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:44:00,50065,50045,33,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
