sample_local,site,water_type,cbt,past_detect,chlorine,enumerator,submitted,tz_sample,tz_survey,barcodes,cbt_recorded,batch,tz_survey_used,tz_imputed,t_utc,shift_min,censored,bag_id,soak_id,sample_group
2026-05-25 10:12:00,LSC15529,Treated,0.0,False,,E1,2026-05-25 15:20:56,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,1,,False,2026-05-25 10:12:00+00:00,0,False,B202605251012,S001,G202605251012
2026-05-25 10:26:00,LSC11397,Treated,0.0,False,,E1,2026-05-25 15:22:11,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,1,,False,2026-05-25 10:26:00+00:00,0,False,B202605251026,S002,G202605251026
2026-05-25 10:35:00,LSC15371,Treated,0.0,False,,E1,2026-05-25 15:23:12,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,1,,False,2026-05-25 10:35:00+00:00,0,False,B202605251035,S003,G202605251035
2026-05-25 10:45:00,LSC11400,Treated,0.0,False,,E1,2026-05-25 15:24:44,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,1,,False,2026-05-25 10:45:00+00:00,0,False,B202605251045,S004,G202605251045
2026-05-25 11:07:00,LSC15206,Treated,0.0,False,,E1,2026-05-25 15:27:23,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,1,,False,2026-05-25 11:07:00+00:00,0,False,B202605251107,S006,G202605251107
2026-05-25 10:55:00,LSC15206,Treated,0.0,False,,E1,2026-05-25 18:50:17,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",48.0,2,,False,2026-05-25 10:55:00+00:00,0,False,B202605251055,S005,G202605251055
2026-05-25 11:16:00,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),5.0,False,,E1,2026-05-26 15:32:48,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",5.0,3,,False,2026-05-25 11:16:00+00:00,0,False,B202605251116,S007,G202605251116
2026-05-25 11:20:00,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,Source (untreated),5.0,False,,E1,2026-05-26 15:34:00,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",5.0,3,,False,2026-05-25 11:20:00+00:00,0,False,B202605251120,S007,G202605251116
2026-05-25 11:30:00,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,Source (untreated),0.0,False,,E1,2026-05-26 15:35:53,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,3,,False,2026-05-25 11:30:00+00:00,0,False,B202605251130,S008,G202605251130
2026-05-25 11:33:00,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,Source (untreated),0.0,False,,E1,2026-05-26 15:37:06,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,3,,False,2026-05-25 11:33:00+00:00,0,False,B202605251133,S008,G202605251130
2026-05-25 11:42:00,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,,E1,2026-05-26 15:39:10,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,3,,False,2026-05-25 11:42:00+00:00,0,False,B202605251142,S009,G202605251142
2026-05-25 11:45:00,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,,E1,2026-05-26 15:40:11,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,3,,False,2026-05-25 11:45:00+00:00,0,False,B202605251145,S009,G202605251142
2026-05-26 09:43:00,LSC15197,Treated,3.0,False,,E1,2026-05-27 16:38:58,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",3.0,4,,False,2026-05-26 09:43:00+00:00,0,False,B202605260943,S010,G202605260943
2026-05-26 09:51:00,LSC11394,Treated,0.0,False,,E1,2026-05-27 16:40:32,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,4,,False,2026-05-26 09:51:00+00:00,0,False,B202605260951,S011,G202605260951
2026-05-26 10:00:00,LSC15145,Treated,0.0,False,,E1,2026-05-27 16:41:51,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,4,,False,2026-05-26 10:00:00+00:00,0,False,B202605261000,S012,G202605261000
2026-05-26 10:17:00,LSC11379,Treated,0.0,False,,E1,2026-05-27 16:43:29,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,4,,False,2026-05-26 10:17:00+00:00,0,False,B202605261017,S014,G202605261017
2026-05-26 10:07:00,LSC11391,Treated,1.0,False,,E1,2026-05-27 16:45:14,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",1.0,4,,False,2026-05-26 10:07:00+00:00,0,False,B202605261007,S013,G202605261007
2026-05-26 10:52:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,,E1,2026-05-27 16:47:05,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,4,,False,2026-05-26 10:52:00+00:00,0,False,B202605261052,S017,G202605261052
2026-05-26 10:54:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,,E1,2026-05-27 16:48:24,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,4,,False,2026-05-26 10:54:00+00:00,0,False,B202605261054,S017,G202605261052
2026-05-26 10:44:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,,E1,2026-05-27 16:49:46,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",33.0,4,,False,2026-05-26 10:44:00+00:00,0,False,B202605261044,S016,G202605261044
2026-05-26 10:46:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,,E1,2026-05-27 16:51:14,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",33.0,4,,False,2026-05-26 10:46:00+00:00,0,False,B202605261046,S016,G202605261044
2026-05-27 08:36:00,LSC11525,Treated,0.0,False,,E1,2026-05-28 10:40:41,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 08:36:00+00:00,0,False,B202605270836,S018,G202605270836
2026-05-27 08:45:00,LSC11517,Treated,0.0,False,,E1,2026-05-28 10:45:09,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 08:45:00+00:00,0,False,B202605270845,S019,G202605270845
2026-05-27 08:53:00,LSC15487,Treated,0.0,False,,E1,2026-05-28 10:46:51,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 08:53:00+00:00,0,False,B202605270853,S020,G202605270853
2026-05-27 09:03:00,LSC15484,Treated,0.0,False,,E1,2026-05-28 10:48:12,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:03:00+00:00,0,False,B202605270903,S021,G202605270903
