bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group
B202605251012,50045,S001,1,426.0,28.0,28.867188,30.73227,sipm_temperature,5.545177444479562,5.7358219864795625,2.7393229166666666,paired,LSC15529,Treated,0.0,False,2026-05-25 10:12:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.0,G202605251012
B202605251012,50065,S001,3,294.0,39.0,34.662384,34.662384,temperature (board),4.820281565605037,5.135522821605037,0.00955,paired,LSC15529,Treated,0.0,False,2026-05-25 10:12:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,-0.1904367711746744,G202605251012
B202605251026,50045,S002,1,439.0,29.0,26.015625,27.303162,sipm_temperature,5.594711379601839,5.724047317101839,0.7349609333333333,paired,LSC11397,Treated,0.0,False,2026-05-25 10:26:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,-0.011774669377723868,G202605251026
B202605251026,50065,S002,4,387.0,39.0,31.863982999999998,31.863982999999998,temperature (board),5.37989735354046,5.635363555722082,0.4542,paired,LSC11397,Treated,0.0,False,2026-05-25 10:26:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.30940396294236994,G202605251026
B202605251035,50065,S003,4,338.0,38.0,30.764984,30.764984,temperature (board),5.123963979403259,5.3554111354032585,0.4706916666666667,paired,LSC15371,Treated,0.0,False,2026-05-25 10:35:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.029451542623546878,G202605251035
B202605251045,50045,S004,1,474.0,30.0,25.164062,25.784988,sipm_temperature,5.717027701406222,5.828055034406222,-0.26601563333333333,paired,LSC11400,Treated,0.0,False,2026-05-25 10:45:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.09223304792665932,G202605251045
B202605251045,50065,S004,4,333.0,38.0,30.0134735,30.0134735,temperature (board),5.093750200806762,5.3120711983067626,0.4623333333333333,paired,LSC11400,Treated,0.0,False,2026-05-25 10:45:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,-0.013888394472949095,G202605251045
B202605251107,50045,S006,1,510.0,30.0,25.28125,26.061935,sipm_temperature,5.8289456176102075,5.942492492610207,1.7380859333333334,paired,LSC15206,Treated,0.0,False,2026-05-25 11:07:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.20667050613064486,G202605251107
B202605251107,50065,S006,4,330.5,38.0,28.5657955,28.5657955,temperature (board),5.078289090109145,5.262128591859145,0.4439666666666667,paired,LSC15206,Treated,0.0,False,2026-05-25 11:07:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,-0.06383100092056626,G202605251107
B202605251055,50045,S005,1,441.0,30.0,25.40625,26.041794,sipm_temperature,5.602118820879701,5.718353195879701,1.7358723833333334,paired,LSC15206,Treated,0.0,False,2026-05-25 10:55:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,-0.017468790599861173,G202605251055
B202605251055,50065,S005,4,341.0,38.0,29.2707525,29.2707525,temperature (board),5.14166355650266,5.339847987252661,0.44988333333333336,paired,LSC15206,Treated,0.0,False,2026-05-25 10:55:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.013888394472949095,G202605251055
B202605251116,50045,S007,1,532.0,32.0,25.28125,26.185303,sipm_temperature,5.8916442118257715,6.005191086825771,-1.2620442833333334,paired,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:16:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.26936910034620887,G202605251116
B202605251116,50065,S007,4,459.0,41.0,27.777756,27.777756,temperature (board),5.666420701558232,5.833642455558232,0.38488333333333336,paired,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:16:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.5076828627785206,G202605251116
B202605251120,50045,S007,1,576.0,32.0,24.367188,25.568466,sipm_temperature,6.0063531596017325,6.100247701601733,0.7372395833333333,paired,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:20:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.36442571512217015,G202605251116
B202605251120,50065,S007,4,463.0,41.0,27.0199285,27.0199285,temperature (board),5.680172609017068,5.831370353677874,0.3809666666666666,paired,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:20:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.5054107608981626,G202605251116
B202605251130,50065,S008,4,370.0,39.0,25.578522,25.578522,temperature (board),5.298317366548036,5.418255589548036,0.4079083333333333,paired,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,Source (untreated),0.0,False,2026-05-25 11:30:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.09229599676832478,G202605251130
