barcode,soak_id,bag_a,bag_b,gap_min,d_sig_TD,cbt_a,cbt_b
50045,S007,B202605251116,B202605251120,4.0,0.09505661477596128,5.0,5.0
50045,S009,B202605251142,B202605251145,3.0,0.0,0.0,0.0
50045,S016,B202605261044,B202605261046,2.0,0.0,33.0,33.0
50045,S017,B202605261052,B202605261054,2.0,0.0,0.0,0.0
50053,P50053-06030913,B202606030911,B202606030914,3.0,0.0,0.0,0.0
50053,S062,B202606030843,B202606030846,3.0,0.0,0.0,0.0
50053,S063,B202606030931,B202606030933,2.0,0.0,0.0,0.0
50053,S064,B202606040811,B202606040813,2.0,0.0,0.0,0.0
50053,S065,B202606040827,B202606040829,2.0,0.0,0.0,0.0
50053,S070,B202606090654,B202606090656,2.0,0.0,0.0,0.0
50053,S070,B202606090656,B202606090659,3.0,0.0,0.0,0.0
50053,S070,B202606090659,B202606090701,2.0,0.0,0.0,0.0
50053,S070,B202606090701,B202606090704,3.0,0.0,0.0,0.0
50053,S071,B202606090720,B202606090723,3.0,0.0,1.0,2.0
50053,S071,B202606090723,B202606090726,3.0,0.0,2.0,2.0
50053,S072,B202606090748,B202606090751,3.0,0.0,14.0,5.0
50053,S072,B202606090751,B202606090753,2.0,0.0,5.0,5.0
50053,S073,B202606090828,B202606090830,2.0,0.0,0.0,0.0
50053,S073,B202606090830,B202606090833,3.0,-0.013804422787713655,0.0,0.0
50053,S074,B202606090845,B202606090848,3.0,0.0,1.0,0.0
50053,S075,B202606100726,B202606100730,4.0,0.0,0.0,0.0
50053,S076,B202606100753,B202606100757,4.0,0.013454497884871408,14.0,48.0
50053,S077,B202606100932,B202606100937,5.0,-0.008286280564731463,1.0,0.0
50053,S078,B202606101045,B202606101050,5.0,-0.0047138207875283555,0.0,0.0
50053,S079,B202606101110,B202606101113,3.0,0.002996343384746858,0.0,0.0
50053,S080,B202606101122,B202606101125,3.0,0.027587035195102416,0.0,0.0
50053,S082,B202606110829,B202606110832,3.0,0.0,0.0,0.0
50053,S083,B202606110850,B202606110853,3.0,0.0,2.0,1.0
50053,S083,B202606110853,B202606110856,3.0,0.0,1.0,2.0
50053,S085,B202606110924,B202606110929,5.0,-0.003600836027295884,0.0,0.0
50065,S007,B202605251116,B202605251120,4.0,-0.0022721018803579796,5.0,5.0
50065,S008,B202605251130,B202605251133,3.0,-0.007531438838522142,0.0,0.0
50065,S009,B202605251142,B202605251145,3.0,-0.00034819076533043614,0.0,0.0
50065,S016,B202605261044,B202605261046,2.0,0.1296498021223247,33.0,33.0
50065,S017,B202605261052,B202605261054,2.0,0.10735033141683381,0.0,0.0
50065,S059,B202606021028,B202606021030,2.0,-0.030178385183497802,0.0,0.0
50065,S062,B202606030843,B202606030846,3.0,0.08561527338155539,0.0,0.0
50065,S063,B202606030931,B202606030933,2.0,0.0,0.0,0.0
50065,S064,B202606040811,B202606040813,2.0,0.016000341346440905,0.0,0.0
50065,S065,B202606040827,B202606040829,2.0,0.010050335853502013,0.0,0.0
50065,S069,B202606040954,B202606040956,2.0,0.29751466230071166,100.0,100.0
50065,S069,B202606040956,B202606040958,2.0,0.5331608158550996,100.0,100.0
50065,S070,B202606090654,B202606090656,2.0,0.06725222700916689,0.0,0.0
50065,S070,B202606090656,B202606090659,3.0,0.2178649838793234,0.0,0.0
50065,S070,B202606090659,B202606090701,2.0,0.20974566048828613,0.0,0.0
50065,S070,B202606090701,B202606090704,3.0,0.11372559416485828,0.0,0.0
50065,S071,B202606090720,B202606090723,3.0,0.07164033588895613,1.0,2.0
50065,S071,B202606090723,B202606090726,3.0,0.11855582381946306,2.0,2.0
50065,S072,B202606090748,B202606090751,3.0,0.04484029367232978,14.0,5.0
50065,S072,B202606090751,B202606090753,2.0,0.10361874239580438,5.0,5.0
50065,S073,B202606090828,B202606090830,2.0,-0.004484334991380123,0.0,0.0
50065,S073,B202606090830,B202606090833,3.0,0.05800403590862668,0.0,0.0
50065,S074,B202606090845,B202606090848,3.0,0.005291054665268469,1.0,0.0
50065,S075,B202606100726,B202606100730,4.0,-0.020142407872507206,0.0,0.0
50065,S076,B202606100753,B202606100757,4.0,0.04577751436290445,14.0,48.0
50065,S077,B202606100932,B202606100937,5.0,-0.01860957449877354,1.0,0.0
50065,S078,B202606101045,B202606101050,5.0,0.2728007446561138,0.0,0.0
50065,S079,B202606101110,B202606101113,3.0,0.047207373021523225,0.0,0.0
50065,S080,B202606101122,B202606101125,3.0,0.09965631816066,0.0,0.0
50065,S082,B202606110829,B202606110832,3.0,0.0,0.0,0.0
50065,S083,B202606110850,B202606110853,3.0,0.07504824545458622,2.0,1.0
50065,S083,B202606110853,B202606110856,3.0,0.08150204114047721,1.0,2.0
50065,S084,B202606110914,B202606110916,2.0,0.0,0.0,0.0
50065,S085,B202606110924,B202606110929,5.0,0.02049785235350221,0.0,0.0
