start,end,n,soak_id
2026-05-25 10:11:00.672000+00:00,2026-05-25 10:15:00.144000+00:00,5,S001
2026-05-25 10:23:51.740000+00:00,2026-05-25 10:28:57.038000+00:00,6,S002
2026-05-25 10:33:58.337000+00:00,2026-05-25 10:37:58+00:00,5,S003
2026-05-25 10:43:57.821000+00:00,2026-05-25 10:47:57.597000+00:00,5,S004
2026-05-25 10:53:57.147000+00:00,2026-05-25 10:56:56.913000+00:00,4,S005
2026-05-25 11:05:56.705000+00:00,2026-05-25 11:09:56.514000+00:00,5,S006
2026-05-25 11:14:53.193000+00:00,2026-05-25 11:22:52.659000+00:00,9,S007
2026-05-25 11:28:54.562000+00:00,2026-05-25 11:35:52.785000+00:00,8,S008
2026-05-25 11:40:54.383000+00:00,2026-05-25 11:46:54.112000+00:00,7,S009
2026-05-26 09:41:56.139000+00:00,2026-05-26 09:44:55.965000+00:00,4,S010
2026-05-26 09:50:56.017000+00:00,2026-05-26 09:53:55.842000+00:00,4,S011
2026-05-26 09:58:55.679000+00:00,2026-05-26 10:01:55.460000+00:00,4,S012
2026-05-26 10:05:55.212000+00:00,2026-05-26 10:09:54.902000+00:00,5,S013
2026-05-26 10:14:54.960000+00:00,2026-05-26 10:18:54.762000+00:00,5,S014
2026-05-26 10:30:52.273000+00:00,2026-05-26 10:34:51.957000+00:00,5,S015
2026-05-26 10:42:51.158000+00:00,2026-05-26 10:47:48.998000+00:00,6,S016
2026-05-26 10:51:49.628000+00:00,2026-05-26 10:55:47.939000+00:00,5,S017
2026-05-27 08:34:44.852000+00:00,2026-05-27 08:37:44.638000+00:00,4,S018
2026-05-27 08:42:43.299000+00:00,2026-05-27 08:46:43.033000+00:00,5,S019
2026-05-27 08:51:43.445000+00:00,2026-05-27 08:55:43.141000+00:00,5,S020
2026-05-27 09:00:41.952000+00:00,2026-05-27 09:03:41.829000+00:00,4,S021
2026-05-27 09:08:41.465000+00:00,2026-05-27 09:16:39.086000+00:00,9,S022
2026-05-27 09:18:36.745000+00:00,2026-05-27 09:21:36.777000+00:00,4,S023
2026-05-27 09:28:41.624000+00:00,2026-05-27 09:31:41.520000+00:00,4,S024
2026-05-27 09:37:40.836000+00:00,2026-05-27 09:40:40.483000+00:00,4,S025
2026-05-27 09:51:39.209000+00:00,2026-05-27 09:55:39.002000+00:00,5,S026
2026-05-28 08:13:28.912000+00:00,2026-05-28 08:16:28.689000+00:00,4,S027
2026-05-28 08:31:28.735000+00:00,2026-05-28 08:34:28.568000+00:00,4,S028
2026-05-28 08:59:27.813000+00:00,2026-05-28 09:04:21.338000+00:00,6,S029
2026-05-28 09:08:27.326000+00:00,2026-05-28 09:12:27.118000+00:00,5,S030
2026-05-28 09:49:22.478000+00:00,2026-05-28 09:54:19.430000+00:00,6,S031
2026-05-29 08:40:06.191000+00:00,2026-05-29 08:45:06.013000+00:00,6,S032
2026-05-29 08:52:01.184000+00:00,2026-05-29 08:56:00.991000+00:00,5,S033
2026-05-29 08:59:00.516000+00:00,2026-05-29 09:03:00.393000+00:00,5,S034
2026-05-29 09:26:02.475000+00:00,2026-05-29 09:30:02.336000+00:00,5,S035
2026-05-29 09:34:02.360000+00:00,2026-05-29 09:38:02.158000+00:00,5,S036
2026-05-29 09:45:59.266000+00:00,2026-05-29 09:49:59.051000+00:00,5,S037
2026-05-29 09:52:58.828000+00:00,2026-05-29 09:56:58.686000+00:00,5,S038
2026-05-29 10:17:01.891000+00:00,2026-05-29 10:22:01.746000+00:00,6,S039
2026-05-29 10:25:02.166000+00:00,2026-05-29 10:29:02.150000+00:00,5,S040
2026-05-30 13:03:02.556000+00:00,2026-05-30 13:07:02.395000+00:00,5,S041
2026-05-30 13:19:07.563000+00:00,2026-05-30 13:23:07.340000+00:00,5,S042
2026-05-30 13:27:06.549000+00:00,2026-05-30 13:31:06.279000+00:00,5,S043
2026-05-30 14:23:34.947000+00:00,2026-05-30 14:27:34.821000+00:00,5,S044
2026-05-30 14:31:34.838000+00:00,2026-05-30 14:35:34.638000+00:00,5,S045
2026-06-01 07:31:12.792000+00:00,2026-06-01 07:35:09.527000+00:00,5,S046
2026-06-01 07:54:13.761000+00:00,2026-06-01 07:58:12.420000+00:00,5,S047
2026-06-01 08:02:13.099000+00:00,2026-06-01 08:05:11.952000+00:00,4,S048
2026-06-01 08:17:12.521000+00:00,2026-06-01 08:20:09.412000+00:00,4,S049
2026-06-01 08:25:12.199000+00:00,2026-06-01 08:27:11.986000+00:00,3,S050
2026-06-01 08:42:10.006000+00:00,2026-06-01 08:44:09.421000+00:00,3,S051
2026-06-02 07:46:23.479000+00:00,2026-06-02 07:52:22.487000+00:00,7,S052
2026-06-02 07:56:22.190000+00:00,2026-06-02 08:02:20.980000+00:00,7,S053
2026-06-02 08:16:21.935000+00:00,2026-06-02 08:21:21.144000+00:00,6,S054
2026-06-02 08:42:18.341000+00:00,2026-06-02 08:46:18.027000+00:00,5,S055
2026-06-02 09:02:17.004000+00:00,2026-06-02 09:06:15.614000+00:00,5,S056
2026-06-02 09:14:16.004000+00:00,2026-06-02 09:20:14.972000+00:00,7,S057
2026-06-02 10:14:09.495000+00:00,2026-06-02 10:19:08.793000+00:00,6,S058
2026-06-02 10:27:08.594000+00:00,2026-06-02 10:31:08.491000+00:00,5,S059
2026-06-02 10:34:02.604000+00:00,2026-06-02 10:36:02.822000+00:00,3,S060
2026-06-03 08:10:57.421000+00:00,2026-06-03 08:16:56.039000+00:00,7,S061
2026-06-03 08:42:54.575000+00:00,2026-06-03 08:45:51.220000+00:00,4,S062
2026-06-03 09:28:53.186000+00:00,2026-06-03 09:31:52.963000+00:00,4,S063
2026-06-04 08:10:20.507000+00:00,2026-06-04 08:13:20.204000+00:00,4,S064
2026-06-04 08:26:21.085000+00:00,2026-06-04 08:30:20.156000+00:00,5,S065
2026-06-04 08:32:19.734000+00:00,2026-06-04 08:35:19.406000+00:00,4,S066
2026-06-04 08:41:20.041000+00:00,2026-06-04 08:50:19.060000+00:00,10,S067
2026-06-04 09:01:18.426000+00:00,2026-06-04 09:08:17.353000+00:00,8,S068
2026-06-04 09:54:13.880000+00:00,2026-06-04 10:04:05.886000+00:00,11,S069
2026-06-09 06:55:54.387000+00:00,2026-06-09 07:02:48.147000+00:00,8,S070
2026-06-09 07:19:52.626000+00:00,2026-06-09 07:26:51.172000+00:00,8,S071
2026-06-09 07:48:52.866000+00:00,2026-06-09 07:54:51.770000+00:00,7,S072
