observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
1,50065,LSC15529,2026-05-25 10:12:00,Treated,0,FALSE,291.0,40.000,34.28,291.00,-13.00,1.000,0.1302,0.1320,TRUE,Conformity,Conformity
2,50045,LSC15529,2026-05-25 10:12:00,Treated,0,FALSE,401.0,28.000,30.73,401.00,-83.00,-1.000,-0.2506,-0.2828,TRUE,Conformity,Conformity
3,50065,LSC11397,2026-05-25 10:26:00,Treated,0,FALSE,336.0,39.000,30.76,336.00,32.00,0.000,0.5234,0.5310,TRUE,Conformity,Low
4,50045,LSC11397,2026-05-25 10:26:00,Treated,0,FALSE,414.0,29.000,27.30,414.00,-70.00,0.000,-0.2532,-0.2773,TRUE,Conformity,Conformity
5,50065,LSC15371,2026-05-25 10:35:00,Treated,0,FALSE,333.0,38.000,30.23,333.00,29.00,-1.000,0.4642,0.4719,TRUE,Conformity,Low
6,50045,LSC15371,2026-05-25 10:35:00,Treated,0,FALSE,414.0,29.000,27.30,414.00,-70.00,0.000,-0.2532,-0.2773,TRUE,Conformity,Conformity
7,50065,LSC11400,2026-05-25 10:45:00,Treated,0,FALSE,333.0,38.000,30.23,333.00,29.00,-1.000,0.4642,0.4719,TRUE,Conformity,Low
8,50045,LSC11400,2026-05-25 10:45:00,Treated,0,FALSE,447.0,30.000,25.78,447.00,-37.00,1.000,0.0421,0.0440,TRUE,Conformity,Conformity
9,50065,LSC15206,2026-05-25 11:07:00,Treated,0,FALSE,330.0,38.000,28.67,330.00,26.00,-1.000,0.3626,0.3714,TRUE,Conformity,Low
10,50045,LSC15206,2026-05-25 11:07:00,Treated,0,FALSE,480.0,30.000,26.06,480.00,-4.00,1.000,0.4125,0.4257,TRUE,Conformity,Low
11,50065,LSC15206,2026-05-25 10:55:00,Treated,48,FALSE,333.0,38.000,29.85,333.00,29.00,-1.000,0.4484,0.4259,FALSE,Intermediate,Low
12,50045,LSC15206,2026-05-25 10:55:00,Treated,48,FALSE,417.0,30.000,26.04,417.00,-67.00,1.000,-0.2733,-0.4488,FALSE,Intermediate,Conformity
13,50065,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,2026-05-25 11:16:00,Source (untreated),5,FALSE,330.0,38.000,28.61,330.00,26.00,-1.000,0.3600,0.3497,TRUE,Low,Low
14,50045,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,2026-05-25 11:16:00,Source (untreated),5,FALSE,480.0,30.000,26.06,480.00,-4.00,1.000,0.4125,0.4009,TRUE,Low,Low
