observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
1,50065,LSC15529,2026-05-25 10:12:00,Treated,0,FALSE,291.0,40.000,34.28,291.00,-10.00,1.000,0.1339,0.1356,TRUE,Conformity,Conformity
2,50045,LSC15529,2026-05-25 10:12:00,Treated,0,FALSE,401.0,28.000,30.73,401.00,-83.00,-1.000,-0.2268,-0.2565,TRUE,Conformity,Conformity
3,50065,LSC11397,2026-05-25 10:26:00,Treated,0,FALSE,336.0,39.000,30.76,336.00,35.00,0.000,0.5108,0.5184,TRUE,Conformity,Low
4,50045,LSC11397,2026-05-25 10:26:00,Treated,0,FALSE,414.0,29.000,27.30,414.00,-70.00,0.000,-0.2393,-0.2624,TRUE,Conformity,Conformity
5,50065,LSC15371,2026-05-25 10:35:00,Treated,0,FALSE,333.0,38.000,30.23,333.00,32.00,-1.000,0.4439,0.4514,TRUE,Conformity,Low
6,50045,LSC15371,2026-05-25 10:35:00,Treated,0,FALSE,414.0,29.000,27.30,414.00,-70.00,0.000,-0.2393,-0.2624,TRUE,Conformity,Conformity
7,50065,LSC11400,2026-05-25 10:45:00,Treated,0,FALSE,333.0,38.000,30.23,333.00,32.00,-1.000,0.4439,0.4514,TRUE,Conformity,Low
8,50045,LSC11400,2026-05-25 10:45:00,Treated,0,FALSE,447.0,30.000,25.78,447.00,-37.00,1.000,0.0475,0.0498,TRUE,Conformity,Conformity
9,50065,LSC15206,2026-05-25 11:07:00,Treated,0,FALSE,330.0,38.000,28.67,330.00,29.00,-1.000,0.3366,0.3451,TRUE,Conformity,Low
10,50045,LSC15206,2026-05-25 11:07:00,Treated,0,FALSE,480.0,30.000,26.06,480.00,-4.00,1.000,0.4103,0.4235,TRUE,Conformity,Low
11,50065,LSC15206,2026-05-25 10:55:00,Treated,48,FALSE,333.0,38.000,29.85,333.00,32.00,-1.000,0.4268,0.4034,FALSE,Intermediate,Low
12,50045,LSC15206,2026-05-25 10:55:00,Treated,48,FALSE,417.0,30.000,26.04,417.00,-67.00,1.000,-0.2590,-0.4349,FALSE,Intermediate,Conformity
13,50065,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,2026-05-25 11:16:00,Source (untreated),5,FALSE,330.0,38.000,28.61,330.00,29.00,-1.000,0.3337,0.3224,TRUE,Low,Low
14,50045,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,2026-05-25 11:16:00,Source (untreated),5,FALSE,480.0,30.000,26.06,480.00,-4.00,1.000,0.4103,0.3986,TRUE,Low,Low
15,50065,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,2026-05-25 11:20:00,Source (untreated),5,FALSE,370.0,39.000,25.58,370.00,69.00,0.000,0.6847,0.6804,TRUE,Low,Low
16,50045,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,2026-05-25 11:20:00,Source (untreated),5,FALSE,532.0,32.000,26.19,532.00,48.00,3.000,0.9798,0.9867,TRUE,Low,Low
17,50065,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:30:00,Source (untreated),0,FALSE,367.0,39.000,25.58,367.00,66.00,0.000,0.6485,0.6799,TRUE,Conformity,Low
18,50045,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:30:00,Source (untreated),0,FALSE,541.0,32.000,25.57,541.00,57.00,3.000,1.0472,1.0840,FALSE,Conformity,Intermediate
19,50065,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:33:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,53.00,-1.000,0.5101,0.5320,TRUE,Conformity,Low
20,50065,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:42:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,53.00,-1.000,0.5101,0.5320,TRUE,Conformity,Low
21,50045,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:42:00,Source (untreated),0,FALSE,484.0,30.000,25.47,484.00,0.00,1.000,0.4259,0.4394,TRUE,Conformity,Low
22,50065,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:45:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,53.00,-1.000,0.5101,0.5320,TRUE,Conformity,Low
23,50045,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:45:00,Source (untreated),0,FALSE,484.0,30.000,25.47,484.00,0.00,1.000,0.4259,0.4394,TRUE,Conformity,Low
24,50065,LSC15197,2026-05-26 09:43:00,Treated,3,FALSE,315.0,123.000,33.24,315.00,14.00,84.000,0.8804,1.0841,TRUE,Low,Intermediate
25,50045,LSC15197,2026-05-26 09:43:00,Treated,3,FALSE,487.0,29.000,29.88,487.00,3.00,0.000,0.6529,0.6551,TRUE,Low,Low
26,50065,LSC11394,2026-05-26 09:51:00,Treated,0,FALSE,315.0,123.000,33.24,315.00,14.00,84.000,0.8804,1.5267,FALSE,Conformity,Intermediate
27,50045,LSC11394,2026-05-26 09:51:00,Treated,0,FALSE,487.0,29.000,29.88,487.00,3.00,0.000,0.6529,0.6764,TRUE,Conformity,Low
28,50065,LSC15145,2026-05-26 10:00:00,Treated,0,FALSE,317.0,38.000,33.12,317.00,16.00,-1.000,0.3828,0.3869,TRUE,Conformity,Low
29,50045,LSC15145,2026-05-26 10:00:00,Treated,0,FALSE,461.0,29.000,25.71,461.00,-23.00,0.000,0.1866,0.1944,TRUE,Conformity,Conformity
30,50065,LSC11379,2026-05-26 10:17:00,Treated,0,FALSE,310.0,37.000,30.70,310.00,9.00,-2.000,0.1818,0.1851,TRUE,Conformity,Conformity
31,50045,LSC11379,2026-05-26 10:17:00,Treated,0,FALSE,490.0,29.000,25.36,490.00,6.00,0.000,0.4785,0.4930,TRUE,Conformity,Low
32,50065,LSC11391,2026-05-26 10:07:00,Treated,1,FALSE,310.0,37.000,30.70,310.00,9.00,-2.000,0.1818,0.1796,TRUE,Low,Conformity
33,50045,LSC11391,2026-05-26 10:07:00,Treated,1,FALSE,461.0,29.000,25.71,461.00,-23.00,0.000,0.1866,0.1815,TRUE,Low,Conformity
34,50065,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:52:00,Source (untreated),0,FALSE,382.0,39.000,31.02,382.00,81.00,0.000,1.0781,1.1122,FALSE,Conformity,Intermediate
35,50045,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:52:00,Source (untreated),0,FALSE,537.0,33.000,26.03,537.00,53.00,4.000,1.0318,1.0655,FALSE,Conformity,Intermediate
36,50065,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:54:00,Source (untreated),0,FALSE,422.0,38.000,30.49,422.00,121.00,-1.000,1.5310,1.6408,FALSE,Conformity,Intermediate
37,50045,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:54:00,Source (untreated),0,FALSE,583.0,29.000,25.97,583.00,99.00,0.000,1.4929,1.6023,FALSE,Conformity,Intermediate
38,50065,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:44:00,Source (untreated),33,FALSE,368.0,38.000,30.80,368.00,67.00,-1.000,0.8927,0.8771,TRUE,Intermediate,Low
39,50045,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:44:00,Source (untreated),33,FALSE,537.0,33.000,26.03,537.00,53.00,4.000,1.0318,1.0154,TRUE,Intermediate,Low
40,50065,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:46:00,Source (untreated),33,FALSE,382.0,39.000,31.02,382.00,81.00,0.000,1.0781,1.0633,TRUE,Intermediate,Intermediate
41,50045,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,2026-05-26 10:46:00,Source (untreated),33,FALSE,537.0,33.000,26.03,537.00,53.00,4.000,1.0318,1.0154,TRUE,Intermediate,Low
42,50065,LSC15380,2026-05-26 10:33:00,Treated,100,TRUE,367.0,38.000,30.80,367.00,66.00,-1.000,0.8807,0.8469,FALSE,Very high,Low
43,50045,LSC15380,2026-05-26 10:33:00,Treated,100,TRUE,491.0,29.000,25.79,491.00,7.00,0.000,0.5087,0.4591,FALSE,Very high,Low
44,50065,LSC11525,2026-05-27 08:36:00,Treated,0,FALSE,321.0,38.000,32.24,321.00,20.00,-1.000,0.3908,0.3953,TRUE,Conformity,Low
45,50045,LSC11525,2026-05-27 08:36:00,Treated,0,FALSE,475.0,29.000,28.16,475.00,-9.00,0.000,0.4471,0.4627,TRUE,Conformity,Low
46,50065,LSC11517,2026-05-27 08:45:00,Treated,0,FALSE,327.0,38.000,33.45,327.00,26.00,-1.000,0.5186,0.5243,TRUE,Conformity,Low
47,50045,LSC11517,2026-05-27 08:45:00,Treated,0,FALSE,475.0,29.000,28.16,475.00,-9.00,0.000,0.4471,0.4627,TRUE,Conformity,Low
48,50065,LSC15487,2026-05-27 08:53:00,Treated,0,FALSE,342.0,38.000,31.86,342.00,41.00,-1.000,0.6274,0.6360,TRUE,Conformity,Low
49,50045,LSC15487,2026-05-27 08:53:00,Treated,0,FALSE,457.0,29.000,27.09,457.00,-27.00,0.000,0.2072,0.2164,TRUE,Conformity,Conformity
50,50065,LSC15484,2026-05-27 09:03:00,Treated,0,FALSE,344.0,38.000,31.62,344.00,43.00,-1.000,0.6405,0.6497,TRUE,Conformity,Low
51,50045,LSC15484,2026-05-27 09:03:00,Treated,0,FALSE,457.0,29.000,27.09,457.00,-27.00,0.000,0.2072,0.2164,TRUE,Conformity,Conformity
52,50065,LSC11469,2026-05-27 09:20:00,Treated,0,FALSE,329.0,36.000,29.16,329.00,28.00,-3.000,0.3347,0.3424,TRUE,Conformity,Low
53,50045,LSC11469,2026-05-27 09:20:00,Treated,0,FALSE,490.0,28.000,25.29,490.00,6.00,-1.000,0.4690,0.4833,TRUE,Conformity,Low
54,50065,LSC11558,2026-05-27 09:30:00,Treated,0,FALSE,328.0,37.000,29.09,328.00,27.00,-2.000,0.3253,0.3329,TRUE,Conformity,Low
