record_id,sample_group,sensor,sample_time_local,sample_time_utc,site_name,water_type,country,cbt_mpn_per_100ml,cbt_censored,chlorine_residual_mg_l,sensor_mon2,sensor_tof_kcps,sensor_temperature_c,temperature_channel,F_corrected_fluorescence,B_log_tof_ratio,baseline_age_days,pred_log10_new_sensor_new_day,pred_log10_day_held_out
B202605251012,G202605251012,50045,2026-05-25 10:12:00,2026-05-25 10:12:00+00:00,LSC15529,Treated,Rwanda,0.0,False,,426.0,28.0,28.867188,sipm_temperature,-0.0402291892744681,-0.0689928714869514,0,0.001610295833915,-0.1835151450977433
B202605251012,G202605251012,50065,2026-05-25 10:12:00,2026-05-25 10:12:00+00:00,LSC15529,Treated,Rwanda,0.0,False,,294.0,39.0,34.662384,temperature (board),-0.2043251656476234,0.0259754864032607,0,-0.1416269650150267,0.0515339037199443
B202605251026,G202605251026,50045,2026-05-25 10:26:00,2026-05-25 10:26:00+00:00,LSC11397,Treated,Rwanda,0.0,False,,439.0,29.0,26.015625,sipm_temperature,-0.057891193341053,-0.0339015516756813,0,0.1814179822652402,0.0220519097057104
B202605251026,G202605251026,50065,2026-05-25 10:26:00,2026-05-25 10:26:00+00:00,LSC11397,Treated,Rwanda,0.0,False,,387.0,39.0,31.863983,temperature (board),0.323292357415319,0.0259754864032607,0,0.8265317130362353,0.6657214951874669
B202605251035,G202605251035,50065,2026-05-25 10:35:00,2026-05-25 10:35:00+00:00,LSC15371,Treated,Rwanda,0.0,False,,338.0,38.0,30.764984,temperature (board),0.0433399370964959,0.0,0,0.2309622101066052,0.2410322345222749
B202605251045,G202605251045,50045,2026-05-25 10:45:00,2026-05-25 10:45:00+00:00,LSC11400,Treated,Rwanda,0.0,False,,474.0,30.0,25.164062,sipm_temperature,0.0981203826155212,0.0168071183163811,0,0.5994137481550703,0.4954154536339735
B202605251045,G202605251045,50065,2026-05-25 10:45:00,2026-05-25 10:45:00+00:00,LSC11400,Treated,Rwanda,0.0,False,,333.0,38.0,30.0134735,temperature (board),-0.0277767889458981,0.0,0,0.1306247791698851,0.1727925538210659
B202605251107,G202605251107,50045,2026-05-25 11:07:00,2026-05-25 11:07:00+00:00,LSC15206,Treated,Rwanda,0.0,False,,510.0,30.0,25.28125,sipm_temperature,0.2125578408195068,0.0168071183163811,0,0.7515904667824105,0.6366437934375091
B202605251107,G202605251107,50065,2026-05-25 11:07:00,2026-05-25 11:07:00+00:00,LSC15206,Treated,Rwanda,0.0,False,,330.5,38.0,28.5657955,temperature (board),-0.0777193953935153,0.0,0,0.0841374604417393,0.1369130709413046
B202605251055,G202605251055,50045,2026-05-25 10:55:00,2026-05-25 10:55:00+00:00,LSC15206,Treated,Rwanda,0.0,False,,441.0,30.0,25.40625,sipm_temperature,-0.0635853145631903,0.0168071183163811,0,0.3722070485350399,0.2886757308870793
B202605251055,G202605251055,50065,2026-05-25 10:55:00,2026-05-25 10:55:00+00:00,LSC15206,Treated,Rwanda,0.0,False,,341.0,38.0,29.2707525,temperature (board),0.0277767889458981,0.0,0,0.2257090554221856,0.2490775468569347
B202605251116,G202605251116,50045,2026-05-25 11:16:00,2026-05-25 11:16:00+00:00,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),Rwanda,5.0,False,,532.0,32.0,25.28125,sipm_temperature,0.2693691003462088,0.0645385211375711,0,1.0005994327975607,0.9568280953957344
B202605251116,G202605251116,50065,2026-05-25 11:16:00,2026-05-25 11:16:00+00:00,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),Rwanda,5.0,False,,459.0,41.0,27.777756,temperature (board),0.5076828627785206,0.075985906977922,0,1.3125147747806718,1.2448702396309188
